r(km) M(Msun) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.1755322433E+01 1.4932219094E+00 4.0935829420E-02 2.1763186670E-02 0.0000000000E+00 0.0217632 0.978237 9.1707804674E+00 -5.8125729725E+01 6.8589810225E+01 -1.0565836985E+02
1.1761917859E+01 1.4936097849E+00 3.8921400403E-02 2.0987020184E-02 0.0000000000E+00 0.020987 0.979013 9.0113063323E+00 -5.7404737469E+01 6.7709343834E+01 -1.0565836985E+02
1.1768359257E+01 1.4939703169E+00 3.7008728493E-02 2.0231901843E-02 0.0000000000E+00 0.0202319 0.979768 8.8544008104E+00 -5.6699094858E+01 6.6846795701E+01 -1.0565836985E+02
1.1774668612E+01 1.4943064289E+00 3.5192533559E-02 1.9498341821E-02 0.0000000000E+00 0.0194983 0.980502 8.6998008684E+00 -5.6005668691E+01 6.5998769592E+01 -1.0565836985E+02
1.1780866475E+01 1.4946206955E+00 3.3467725373E-02 1.8786668011E-02 0.0000000000E+00 0.0187867 0.981213 8.5472753999E+00 -5.5322051424E+01 6.5162626857E+01 -1.0565836985E+02
1.1786971556E+01 1.4949153594E+00 3.1829438251E-02 1.8097055439E-02 0.0000000000E+00 0.0180971 0.981903 8.3966228406E+00 -5.4646457983E+01 6.4336380856E+01 -1.0565836985E+02
1.1793000524E+01 1.4951923585E+00 3.0273049358E-02 1.7429551199E-02 0.0000000000E+00 0.0174296 0.98257 8.2476687699E+00 -5.3977623204E+01 6.3518592007E+01 -1.0565836985E+02
1.1798967950E+01 1.4954533590E+00 2.8794185420E-02 1.6784095492E-02 0.0000000000E+00 0.0167841 0.983216 8.1002635833E+00 -5.3314706762E+01 6.2708270377E+01 -1.0565836985E+02
1.1804886343E+01 1.4956997894E+00 2.7388721408E-02 1.6160539312E-02 0.0000000000E+00 0.0161605 0.983839 7.9542802752E+00 -5.2657208773E+01 6.1904789081E+01 -1.0565836985E+02
1.1810766235E+01 1.4959328724E+00 2.6052773786E-02 1.5558659267E-02 0.0000000000E+00 0.0155587 0.984441 7.8096123537E+00 -5.2004897067E+01 6.1107809453E+01 -1.0565836985E+02
1.1816616301E+01 1.4961536554E+00 2.4782690294E-02 1.4978169994E-02 0.0000000000E+00 0.0149782 0.985022 7.6661718893E+00 -5.1357745822E+01 6.0317217744E+01 -1.0565836985E+02
1.1822443503E+01 1.4963630368E+00 2.3575037675E-02 1.4418734573E-02 0.0000000000E+00 0.0144187 0.985581 7.5238876960E+00 -5.0715884619E+01 5.9533072348E+01 -1.0565836985E+02
1.1828253231E+01 1.4965617906E+00 2.2426588385E-02 1.3879973288E-02 0.0000000000E+00 0.01388 0.98612 7.3827036400E+00 -5.0079556686E+01 5.8755560359E+01 -1.0565836985E+02
1.1834049458E+01 1.4967505862E+00 2.1334307027E-02 1.3361471053E-02 0.0000000000E+00 0.0133615 0.986639 7.2425770690E+00 -4.9449085034E+01 5.7984962136E+01 -1.0565836985E+02
1.1839834887E+01 1.4969300069E+00 2.0295337002E-02 1.2862783735E-02 0.0000000000E+00 0.0128628 0.987137 7.1034773552E+00 -4.8824845277E+01 5.7221622665E+01 -1.0565836985E+02
1.1845611096E+01 1.4971005649E+00 1.9306987723E-02 1.2383443600E-02 0.0000000000E+00 0.0123834 0.987617 6.9653845463E+00 -4.8207244009E+01 5.6465928587E+01 -1.0565836985E+02
1.1851378673E+01 1.4972627140E+00 1.8366722569E-02 1.1922964038E-02 0.0000000000E+00 0.011923 0.988077 6.8282881164E+00 -4.7596701788E+01 5.5718289937E+01 -1.0565836985E+02
1.1857137347E+01 1.4974168608E+00 1.7472147700E-02 1.1480843696E-02 0.0000000000E+00 0.0114808 0.988519 6.6921858131E+00 -4.6993639900E+01 5.4979125746E+01 -1.0565836985E+02
1.1862886112E+01 1.4975633730E+00 1.6621001768E-02 1.1056570121E-02 0.0000000000E+00 0.0110566 0.988943 6.5570825919E+00 -4.6398470188E+01 5.4248852812E+01 -1.0565836985E+02
1.1868623337E+01 1.4977025875E+00 1.5811146496E-02 1.0649622994E-02 0.0000000000E+00 0.0106496 0.98935 6.4229896351E+00 -4.5811587392E+01 5.3527877059E+01 -1.0565836985E+02
1.1874346876E+01 1.4978348161E+00 1.5040558118E-02 1.0259476997E-02 0.0000000000E+00 0.0102595 0.989741 6.2899234472E+00 -4.5233363502E+01 5.2816586981E+01 -1.0565836985E+02
1.1880054159E+01 1.4979603501E+00 1.4307319588E-02 9.8856043834E-03 0.0000000000E+00 0.0098856 0.990114 6.1579050242E+00 -4.4664143727E+01 5.2115348784E+01 -1.0565836985E+02
1.1885742281E+01 1.4980794648E+00 1.3609613519E-02 9.5274772622E-03 0.0000000000E+00 0.00952748 0.990473 6.0269590902E+00 -4.4104243765E+01 5.1424502887E+01 -1.0565836985E+02
1.1891408084E+01 1.4981924220E+00 1.2945715771E-02 9.1845696345E-03 0.0000000000E+00 0.00918457 0.990815 5.8971133979E+00 -4.3553948094E+01 5.0744361525E+01 -1.0565836985E+02
1.1897048224E+01 1.4982994729E+00 1.2313989629E-02 8.8563592039E-03 0.0000000000E+00 0.00885636 0.991144 5.7683980890E+00 -4.3013509083E+01 5.0075207204E+01 -1.0565836985E+02
1.1902659237E+01 1.4984008594E+00 1.1712880490E-02 8.5423289747E-03 0.0000000000E+00 0.00854233 0.991458 5.6408451099E+00 -4.2483146724E+01 4.9417291866E+01 -1.0565836985E+02
1.1908237596E+01 1.4984968159E+00 1.1140911027E-02 8.2419686584E-03 0.0000000000E+00 0.00824197 0.991758 5.5144876802E+00 -4.1963048868E+01 4.8770836581E+01 -1.0565836985E+02
1.1913779757E+01 1.4985875699E+00 1.0596676747E-02 7.9547758986E-03 0.0000000000E+00 0.00795478 0.992045 5.3893598104E+00 -4.1453371831E+01 4.8136031674E+01 -1.0565836985E+02
1.1919282205E+01 1.4986733431E+00 1.0078841923E-02 7.6802573308E-03 0.0000000000E+00 0.00768026 0.99232 5.2654958660E+00 -4.0954241280E+01 4.7513037179E+01 -1.0565836985E+02
1.1924741489E+01 1.4987543512E+00 9.5861358345E-03 7.4179294873E-03 0.0000000000E+00 0.00741793 0.992582 5.1429301746E+00 -4.0465753327E+01 4.6901983534E+01 -1.0565836985E+02
1.1930154252E+01 1.4988308050E+00 9.1173492973E-03 7.1673195605E-03 0.0000000000E+00 0.00716732 0.992833 5.0216966746E+00 -3.9987975778E+01 4.6302972485E+01 -1.0565836985E+02
