r(km) nb(fm^-3) Ye Ymu Yp Yn mu_n(MeV) mu_p(MeV) mu_e(MeV) mu_mu(MeV)
1.19301543E+01 9.11735636E-03 7.16732334E-03 0.00000000E+00 0.00716732 0.992833 5.02169854E+00 -3.99879831E+01 4.63029816E+01 -1.05658370E+02
1.19355173E+01 8.67133816E-03 6.92796965E-03 0.00000000E+00 0.00692797 0.993072 4.90183044E+00 -3.95209566E+01 4.57160871E+01 -1.05658370E+02
1.19408274E+01 8.24699310E-03 6.69942265E-03 0.00000000E+00 0.00669942 0.993301 4.78336003E+00 -3.90646967E+01 4.51413567E+01 -1.05658370E+02
1.19460818E+01 7.84327813E-03 6.48124484E-03 0.00000000E+00 0.00648124 0.993519 4.66631833E+00 -3.86191944E+01 4.45788128E+01 -1.05658370E+02
1.19512777E+01 7.45920011E-03 6.27301123E-03 0.00000000E+00 0.00627301 0.993727 4.55073496E+00 -3.81844185E+01 4.40284535E+01 -1.05658370E+02
1.19564124E+01 7.09381331E-03 6.07430956E-03 0.00000000E+00 0.00607431 0.993926 4.43663788E+00 -3.77603161E+01 4.34902540E+01 -1.05658370E+02
1.19614837E+01 6.74621710E-03 5.88474041E-03 0.00000000E+00 0.00588474 0.994115 4.32405332E+00 -3.73468148E+01 4.29641682E+01 -1.05658370E+02
1.19664893E+01 6.41555383E-03 5.70391731E-03 0.00000000E+00 0.00570392 0.994296 4.21300560E+00 -3.69438240E+01 4.24501296E+01 -1.05658370E+02
1.19714272E+01 6.10100665E-03 5.53146668E-03 0.00000000E+00 0.00553147 0.994469 4.10351704E+00 -3.65512358E+01 4.19480529E+01 -1.05658370E+02
1.19762956E+01 5.80179767E-03 5.36702782E-03 0.00000000E+00 0.00536703 0.994633 3.99560789E+00 -3.61689270E+01 4.14578349E+01 -1.05658370E+02
1.19810930E+01 5.51718604E-03 5.21025280E-03 0.00000000E+00 0.00521025 0.99479 3.88929625E+00 -3.57967598E+01 4.09793560E+01 -1.05658370E+02
1.19858179E+01 5.24646622E-03 5.06080628E-03 0.00000000E+00 0.00506081 0.994939 3.78459803E+00 -3.54345835E+01 4.05124815E+01 -1.05658370E+02
1.19904691E+01 4.98896632E-03 4.91836535E-03 0.00000000E+00 0.00491837 0.995082 3.68152696E+00 -3.50822355E+01 4.00570625E+01 -1.05658370E+02
1.19950456E+01 4.74404649E-03 4.78261930E-03 0.00000000E+00 0.00478262 0.995217 3.58009455E+00 -3.47395426E+01 3.96129372E+01 -1.05658370E+02
1.19995466E+01 4.51109744E-03 4.65326939E-03 0.00000000E+00 0.00465327 0.995347 3.48031008E+00 -3.44063220E+01 3.91799321E+01 -1.05658370E+02
1.20039713E+01 4.28953897E-03 4.53002857E-03 0.00000000E+00 0.00453003 0.99547 3.38218067E+00 -3.40823824E+01 3.87578632E+01 -1.05658370E+02
1.20083192E+01 4.07881866E-03 4.41262123E-03 0.00000000E+00 0.00441262 0.995587 3.28571129E+00 -3.37675252E+01 3.83465365E+01 -1.05658370E+02
1.20125900E+01 3.87841050E-03 4.30078286E-03 0.00000000E+00 0.00430078 0.995699 3.19090476E+00 -3.34615451E+01 3.79457499E+01 -1.05658370E+02
1.20167834E+01 3.68781370E-03 4.19425977E-03 0.00000000E+00 0.00419426 0.995806 3.09776187E+00 -3.31642315E+01 3.75552934E+01 -1.05658370E+02
1.20208994E+01 3.50655147E-03 4.09280876E-03 0.00000000E+00 0.00409281 0.995907 3.00628139E+00 -3.28753693E+01 3.71749507E+01 -1.05658370E+02
1.20249380E+01 3.33416993E-03 3.99619682E-03 0.00000000E+00 0.0039962 0.996004 2.91646014E+00 -3.25947395E+01 3.68044997E+01 -1.05658370E+02
1.20288994E+01 3.17023701E-03 3.90420079E-03 0.00000000E+00 0.0039042 0.996096 2.82829309E+00 -3.23221203E+01 3.64437135E+01 -1.05658370E+02
1.20327839E+01 3.01434141E-03 3.81660704E-03 0.00000000E+00 0.00381661 0.996183 2.74177340E+00 -3.20572879E+01 3.60923613E+01 -1.05658370E+02
1.20365920E+01 2.86609165E-03 3.73321113E-03 0.00000000E+00 0.00373321 0.996267 2.65689250E+00 -3.18000169E+01 3.57502094E+01 -1.05658370E+02
1.20403240E+01 2.72511513E-03 3.65381753E-03 0.00000000E+00 0.00365382 0.996346 2.57364021E+00 -3.15500813E+01 3.54170216E+01 -1.05658370E+02
1.20439808E+01 2.59105722E-03 3.57823925E-03 0.00000000E+00 0.00357824 0.996422 2.49200479E+00 -3.13072554E+01 3.50925602E+01 -1.05658370E+02
1.20475629E+01 2.46358043E-03 3.50629756E-03 0.00000000E+00 0.0035063 0.996494 2.41197302E+00 -3.10713136E+01 3.47765867E+01 -1.05658370E+02
1.20510712E+01 2.34236360E-03 3.43782164E-03 0.00000000E+00 0.00343782 0.996562 2.33353031E+00 -3.08420320E+01 3.44688623E+01 -1.05658370E+02
1.20545065E+01 2.22710110E-03 3.37264835E-03 0.00000000E+00 0.00337265 0.996627 2.25666077E+00 -3.06191880E+01 3.41691488E+01 -1.05658370E+02
1.20578698E+01 2.11750214E-03 3.31062184E-03 0.00000000E+00 0.00331062 0.996689 2.18134731E+00 -3.04025616E+01 3.38772089E+01 -1.05658370E+02
